x,y
4.317382114,3.913385467
4.895241905,4.63829085
5.023659297,4.214375657
3.90324985,4.858235765
2.645461708,3.21736463
4.37965959,3.20438492
4.214216368,3.151984833
1.322635598,2.864196207
4.286340881,4.197818537
3.595920067,4.284296563
1.135905904,4.88935951
2.793379754,3.051500991
4.781614565,5.043343155
4.895638437,6.286259831
5.13253686,6.896729351
4.328719588,3.760071442
2.068738354,2.041574225
5.326010138,4.373049919
1.715476822,2.278370463
0.09718766,1.252434245
3.780350532,3.329763318
1.834285215,2.619655075
5.490357484,10.06775406
5.953109052,5.744883262
4.649396997,4.032948622
3.111821981,2.734562482
1.557151134,3.294715255
2.091594242,2.449091699
4.180034164,3.533712528
1.075371848,2.2371794
5.131344507,3.629272051
1.89609036,3.580718168
4.199230837,3.198847303
0.650707191,1.964483186
2.542347504,2.803829675
3.581183071,2.831800728
0.385971048,3.547531267
4.40365296,3.793565518
5.659865332,4.251306668
0.34361528,1.23593879
0.653849248,2.073728573
0.796437449,2.198025373
2.381835738,5.083573344
4.735985387,5.017582686
2.308710274,2.699790779
3.524918832,6.712329188
2.0311281,4.50576488
1.827697418,2.217078241
1.939081942,2.537297838
1.164576484,3.965856979
1.795888945,1.911034146
1.926508314,2.409098953
1.288468055,2.226630688
0.340661536,2.834503628
5.597035822,5.028265575
0.933214189,1.669576338
3.116075685,2.560517299
1.785960632,3.218612062
5.931077896,4.936022133
4.996702211,3.816477067
0.314549848,1.287550944
1.973209212,5.985152299
1.609548023,7.138405633
0.17028287,2.189851564
5.238080248,4.578124059
5.162975991,3.950303787
4.165892375,3.370023874
2.167924918,2.294231587
4.706408544,3.391744147
0.270958642,1.807555669
5.86319849,4.530853896
4.724657123,3.601778569
3.637425025,2.852882577
1.7986434,1.96076761
5.636874871,4.042583901
2.837648323,4.995160258
0.482797128,1.284905734
0.289936916,2.491430979
0.047107535,1.11308419
2.28605466,2.380790767
3.133821839,2.611260024
0.91795805,1.704921039
3.379335676,2.927424039
3.355763084,2.864850281
1.512706581,5.88868267
4.566400562,3.398721555
0.969856546,2.541820986
0.851312606,1.856050292
5.161769721,4.346437157
5.728880498,3.879600582
2.043587711,4.021835841
0.380227258,2.54115888
5.385656772,5.995310255
2.460195218,3.352072437
4.751559069,3.873920066
2.905684759,3.834165957
2.561736083,3.557586142
5.944472155,4.883711212
2.512889329,3.073874421
0.322240035,2.595856707
