x1,x2,y
3.953265654,3.325062367,-1.221414997
1.110419787,4.129651425,-12.53210016
5.726268821,3.948345322,3.510456761
5.387090952,3.980056352,-10.23390778
5.662182326,2.833405215,8.00238356
4.342144507,5.817168997,-18.28496784
2.222142396,2.413182376,-1.114833934
4.686105242,5.097312623,-14.88417383
0.066897052,4.539869444,-15.10563588
5.641852273,3.195607316,-1.373017693
5.962495357,5.244897965,-12.06027458
2.144434471,2.802690694,-2.767699872
4.485810381,0.048770732,1.252125277
4.757454143,4.366602028,-14.44173626
4.235154038,4.299536873,-11.22104042
2.854950232,1.124558226,5.339804899
2.967927156,3.876403661,-10.10254044
1.848314693,3.251875679,-5.622327173
4.170073478,2.011924559,-4.347538039
4.936759834,3.827452339,-4.913255399
2.608305844,4.975206383,-14.06191207
3.088395917,4.253851191,-6.673745462
3.978065806,2.091302105,3.947731589
0.858999519,0.76996725,0.000469772
2.066924362,2.328470933,-0.063525247
2.434581494,5.56906529,-22.11763287
0.511866035,4.826344628,-17.39221842
5.595431569,4.552180842,-11.41849163
5.0303044,5.743499334,-28.07549692
5.276599777,5.963483272,-22.37732063
5.614274806,3.638645968,-7.630396095
0.434763801,0.176262993,0.680396116
2.272556643,2.018672147,-0.755139426
3.227189537,1.66594852,5.907448943
0.630300832,0.703185301,1.313168327
4.810126233,0.259309554,7.121751426
4.437850475,2.221858714,4.704933338
0.31289408,2.021269853,-0.906438596
2.893017439,1.041915321,1.383561931
5.523107044,3.730639677,-9.351044198
0.249170573,2.387061765,-2.002132947
1.763950794,5.734054612,-27.13923884
3.005102924,3.920096659,-8.204620767
3.658493611,1.9724623,-0.148030003
1.585494298,1.182880281,-2.014547489
2.538591657,0.692053949,-1.094084905
2.199381698,5.975792872,-25.61994058
5.655031934,2.275660351,-0.15714229
0.742341391,3.371928556,-6.030492558
0.420196075,4.396308106,-12.92800946
5.785902228,5.224833318,-9.653366356
2.655060649,3.433021558,-4.226896212
2.221634282,0.066216426,3.016787082
1.021461481,5.437891568,-22.81897856
0.325142576,4.623921789,-15.08111983
3.946968416,2.29502774,2.354676817
3.4689715,0.564275333,-1.09075053
5.922610584,0.297921503,3.248659449
3.622754409,4.926973909,-23.4884598
0.389699513,4.975945826,-18.66533356
0.972654491,3.928397255,-12.53901964
2.852387523,0.796966878,6.336047821
0.011597008,2.050859407,-1.156736794
2.648754858,4.388229474,-13.68285955
1.565578423,5.443748496,-22.67294111
5.630482473,4.177181996,-6.0093425
4.294999702,1.449475334,5.409467301
0.97851287,3.864643372,-9.025820269
2.857128111,1.684501282,-0.3603068
4.141540338,5.745819124,-29.84397385
2.765371077,0.95037574,1.354885979
5.73088043,2.51003395,1.667896397
4.275240735,1.512058784,-1.155512554
2.3828876,0.566341606,2.273002382
0.706323673,4.966306618,-19.16948051
1.440697638,3.151833022,-5.073840337
5.181783399,4.006485765,-7.786849939
2.61585841,2.449666559,-1.624860475
2.987208312,5.05553942,-18.49897143
4.151566033,4.423832808,-4.749178294
4.561879691,2.089346406,4.48374577
0.932407336,5.693629065,-24.2212727
5.096742558,3.88007514,-12.33188484
5.680906914,0.211666601,4.940927994
3.530515142,3.578690734,-2.385951256
3.013504892,2.491908009,-1.38127266
1.138679506,0.461382229,-0.606810911
0.011021149,3.168293275,-5.860477832
5.265468373,5.773999851,-33.9628229
0.804668027,4.252440307,-13.08119693
0.136447345,3.320854221,-6.458337992
5.634820236,1.457739654,6.61914785
1.757692337,4.668255174,-13.32668687
0.985959447,3.911645661,-9.594046431
2.394615335,4.981474224,-17.90009141
2.757452473,3.891305685,-11.42097655
2.604185091,2.879014766,1.040623539
3.102058958,2.970384634,-3.16214523
5.077474516,2.279235549,-3.00798811
0.330985718,2.702912623,-3.150954676
